event_hour,source,medium,device_type,os,users,page_views,conversions,revenue
2020-11-01 00:00:00.000000 UTC,google,organic,desktop,Windows,8,22,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,<Other>,desktop,Web,4,117,0,0.0
2020-11-01 00:00:00.000000 UTC,(direct),(none),desktop,Web,13,36,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,<Other>,mobile,Android,5,51,1,0.0
2020-11-01 00:00:00.000000 UTC,google,organic,desktop,Web,16,21,0,0.0
2020-11-01 00:00:00.000000 UTC,google,cpc,desktop,Web,2,2,0,0.0
2020-11-01 00:00:00.000000 UTC,(data deleted),(data deleted),mobile,iOS,1,7,0,0.0
2020-11-01 00:00:00.000000 UTC,google,organic,desktop,Macintosh,2,3,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,<Other>,mobile,Web,3,3,0,0.0
2020-11-01 00:00:00.000000 UTC,google,organic,mobile,iOS,5,10,0,0.0
2020-11-01 00:00:00.000000 UTC,(data deleted),(data deleted),desktop,Web,3,10,0,0.0
2020-11-01 00:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,iOS,3,2,0,0.0
2020-11-01 00:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,desktop,Macintosh,1,1,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,<Other>,mobile,iOS,4,7,0,0.0
2020-11-01 00:00:00.000000 UTC,(direct),(none),desktop,<Other>,1,1,0,0.0
2020-11-01 00:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,Web,1,1,0,0.0
2020-11-01 00:00:00.000000 UTC,(data deleted),(data deleted),mobile,Web,3,5,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,organic,mobile,Web,1,2,0,0.0
2020-11-01 00:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,desktop,Windows,1,9,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,organic,desktop,Web,2,2,0,0.0
2020-11-01 00:00:00.000000 UTC,(direct),(none),mobile,Android,4,10,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,<Other>,desktop,<Other>,1,1,0,0.0
2020-11-01 00:00:00.000000 UTC,google,organic,mobile,Android,2,2,0,0.0
2020-11-01 00:00:00.000000 UTC,google,organic,mobile,Web,8,8,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,<Other>,desktop,Macintosh,1,1,0,0.0
2020-11-01 00:00:00.000000 UTC,(direct),(none),desktop,Windows,5,2,0,0.0
2020-11-01 00:00:00.000000 UTC,(direct),(none),desktop,Macintosh,1,2,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,<Other>,desktop,Windows,2,2,0,0.0
2020-11-01 00:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,Android,3,20,0,0.0
2020-11-01 00:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,desktop,Web,2,6,0,0.0
2020-11-01 00:00:00.000000 UTC,(direct),(none),mobile,iOS,5,7,0,0.0
2020-11-01 00:00:00.000000 UTC,google,cpc,desktop,Windows,1,1,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,referral,desktop,Web,2,1,0,0.0
2020-11-01 00:00:00.000000 UTC,google,cpc,mobile,Web,1,1,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,referral,desktop,Windows,1,1,0,0.0
2020-11-01 00:00:00.000000 UTC,<Other>,referral,mobile,Web,1,1,0,0.0
2020-11-01 00:00:00.000000 UTC,(direct),(none),mobile,Web,4,7,0,0.0
2020-11-01 00:00:00.000000 UTC,google,cpc,desktop,Macintosh,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,(data deleted),(data deleted),desktop,Windows,1,0,0,0.0
2020-11-01 01:00:00.000000 UTC,google,organic,mobile,iOS,3,3,0,0.0
2020-11-01 01:00:00.000000 UTC,google,organic,desktop,Windows,3,5,0,0.0
2020-11-01 01:00:00.000000 UTC,google,organic,mobile,Web,6,12,0,0.0
2020-11-01 01:00:00.000000 UTC,google,organic,desktop,Web,14,26,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,organic,mobile,Android,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,<Other>,tablet,iOS,2,2,0,0.0
2020-11-01 01:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,desktop,Web,6,6,0,0.0
2020-11-01 01:00:00.000000 UTC,(direct),(none),mobile,Web,6,7,0,0.0
2020-11-01 01:00:00.000000 UTC,(direct),(none),desktop,<Other>,3,8,0,0.0
2020-11-01 01:00:00.000000 UTC,google,organic,mobile,Android,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,(direct),(none),desktop,Web,14,37,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,<Other>,mobile,Web,2,14,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,referral,desktop,Web,3,9,0,0.0
2020-11-01 01:00:00.000000 UTC,(data deleted),(data deleted),mobile,iOS,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,google,cpc,mobile,Web,2,2,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,referral,mobile,Web,4,14,0,0.0
2020-11-01 01:00:00.000000 UTC,(direct),(none),mobile,Android,3,2,0,0.0
2020-11-01 01:00:00.000000 UTC,(direct),(none),mobile,iOS,1,3,0,0.0
2020-11-01 01:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,iOS,1,2,0,0.0
2020-11-01 01:00:00.000000 UTC,(direct),(none),desktop,Windows,5,49,1,0.0
2020-11-01 01:00:00.000000 UTC,google,organic,desktop,Macintosh,3,5,0,0.0
2020-11-01 01:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,Web,2,2,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,organic,desktop,Windows,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,organic,mobile,Web,1,4,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,<Other>,desktop,Windows,3,10,0,0.0
2020-11-01 01:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,Android,2,8,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,<Other>,desktop,Web,9,13,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,organic,mobile,iOS,2,4,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,<Other>,desktop,Macintosh,2,2,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,organic,desktop,Web,4,8,0,0.0
2020-11-01 01:00:00.000000 UTC,google,cpc,mobile,Android,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,<Other>,mobile,iOS,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,(data deleted),(data deleted),desktop,Macintosh,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,referral,tablet,Web,1,10,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,<Other>,mobile,Android,3,3,0,0.0
2020-11-01 01:00:00.000000 UTC,(direct),(none),desktop,Macintosh,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,(data deleted),(data deleted),tablet,Web,1,3,0,0.0
2020-11-01 01:00:00.000000 UTC,<Other>,referral,desktop,Windows,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,google,cpc,desktop,Web,1,2,0,0.0
2020-11-01 01:00:00.000000 UTC,(data deleted),(data deleted),desktop,Web,1,0,0,0.0
2020-11-01 01:00:00.000000 UTC,google,organic,tablet,Web,1,1,0,0.0
2020-11-01 01:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,desktop,Macintosh,1,1,0,0.0
2020-11-01 02:00:00.000000 UTC,(direct),(none),desktop,Macintosh,6,7,0,0.0
2020-11-01 02:00:00.000000 UTC,(direct),(none),tablet,Android,1,1,0,0.0
2020-11-01 02:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,desktop,Windows,1,1,0,0.0
2020-11-01 02:00:00.000000 UTC,google,organic,mobile,Web,10,27,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,referral,desktop,Web,7,17,0,0.0
2020-11-01 02:00:00.000000 UTC,google,cpc,desktop,Windows,2,4,0,0.0
2020-11-01 02:00:00.000000 UTC,(data deleted),(data deleted),desktop,Windows,1,1,0,0.0
2020-11-01 02:00:00.000000 UTC,google,organic,desktop,Web,14,25,0,0.0
2020-11-01 02:00:00.000000 UTC,(direct),(none),mobile,iOS,4,33,0,0.0
2020-11-01 02:00:00.000000 UTC,(direct),(none),desktop,Web,10,23,0,0.0
2020-11-01 02:00:00.000000 UTC,(direct),(none),mobile,Android,3,4,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,<Other>,desktop,Web,6,11,0,0.0
2020-11-01 02:00:00.000000 UTC,(data deleted),(data deleted),desktop,Web,2,10,0,0.0
2020-11-01 02:00:00.000000 UTC,(direct),(none),mobile,Web,4,5,0,0.0
2020-11-01 02:00:00.000000 UTC,(data deleted),(data deleted),mobile,iOS,1,10,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,referral,desktop,Macintosh,1,1,0,0.0
2020-11-01 02:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,Web,2,2,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,<Other>,mobile,Web,4,4,0,0.0
2020-11-01 02:00:00.000000 UTC,google,organic,mobile,Android,3,9,0,0.0
2020-11-01 02:00:00.000000 UTC,google,cpc,desktop,Macintosh,2,3,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,<Other>,desktop,Macintosh,2,2,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,organic,mobile,iOS,1,2,0,0.0
2020-11-01 02:00:00.000000 UTC,(data deleted),(data deleted),tablet,Web,1,3,0,0.0
2020-11-01 02:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,iOS,1,2,0,0.0
2020-11-01 02:00:00.000000 UTC,google,cpc,mobile,Web,1,1,0,0.0
2020-11-01 02:00:00.000000 UTC,google,organic,desktop,Windows,8,19,0,0.0
2020-11-01 02:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,desktop,Web,4,5,0,0.0
2020-11-01 02:00:00.000000 UTC,(direct),(none),desktop,Windows,5,3,0,0.0
2020-11-01 02:00:00.000000 UTC,google,organic,desktop,Macintosh,4,11,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,<Other>,desktop,Windows,3,6,0,0.0
2020-11-01 02:00:00.000000 UTC,google,organic,mobile,iOS,5,5,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,organic,desktop,Web,2,5,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,referral,mobile,iOS,2,2,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,referral,desktop,<Other>,1,1,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,referral,desktop,Windows,1,1,0,0.0
2020-11-01 02:00:00.000000 UTC,<Other>,referral,mobile,Web,3,3,0,0.0
2020-11-01 02:00:00.000000 UTC,google,cpc,desktop,Web,2,5,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,organic,desktop,Windows,3,117,0,0.0
2020-11-01 03:00:00.000000 UTC,google,organic,desktop,Windows,5,5,0,0.0
2020-11-01 03:00:00.000000 UTC,google,organic,desktop,<Other>,1,2,0,0.0
2020-11-01 03:00:00.000000 UTC,google,organic,mobile,Web,6,5,0,0.0
2020-11-01 03:00:00.000000 UTC,(data deleted),(data deleted),desktop,Web,1,13,0,0.0
2020-11-01 03:00:00.000000 UTC,(direct),(none),desktop,Web,14,28,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,organic,desktop,Macintosh,1,3,0,0.0
2020-11-01 03:00:00.000000 UTC,google,organic,desktop,Web,14,22,0,0.0
2020-11-01 03:00:00.000000 UTC,google,organic,mobile,iOS,4,6,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,organic,desktop,Web,2,3,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,<Other>,desktop,Windows,3,8,0,0.0
2020-11-01 03:00:00.000000 UTC,(data deleted),(data deleted),desktop,Macintosh,2,2,0,0.0
2020-11-01 03:00:00.000000 UTC,(direct),(none),mobile,Android,6,12,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,<Other>,mobile,Web,4,6,0,0.0
2020-11-01 03:00:00.000000 UTC,(direct),(none),mobile,Web,5,19,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,organic,tablet,Android,1,3,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,<Other>,desktop,Web,9,12,0,0.0
2020-11-01 03:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,Android,3,7,0,0.0
2020-11-01 03:00:00.000000 UTC,google,organic,desktop,Macintosh,3,2,0,0.0
2020-11-01 03:00:00.000000 UTC,google,organic,mobile,Android,4,11,0,0.0
2020-11-01 03:00:00.000000 UTC,(direct),(none),desktop,Windows,6,10,0,0.0
2020-11-01 03:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,Web,3,35,0,0.0
2020-11-01 03:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,iOS,3,15,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,referral,desktop,Macintosh,2,1,0,0.0
2020-11-01 03:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,desktop,Macintosh,1,4,0,0.0
2020-11-01 03:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,tablet,Web,1,1,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,referral,desktop,Windows,4,6,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,referral,mobile,Web,1,1,0,0.0
2020-11-01 03:00:00.000000 UTC,google,cpc,desktop,Web,2,3,0,0.0
2020-11-01 03:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,desktop,Web,6,9,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,<Other>,mobile,Android,1,1,0,0.0
2020-11-01 03:00:00.000000 UTC,(direct),(none),tablet,Android,1,1,0,0.0
2020-11-01 03:00:00.000000 UTC,(direct),(none),mobile,iOS,4,4,0,0.0
2020-11-01 03:00:00.000000 UTC,google,cpc,desktop,Windows,2,1,0,0.0
2020-11-01 03:00:00.000000 UTC,(data deleted),(data deleted),mobile,iOS,1,1,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,referral,desktop,Web,3,4,0,0.0
2020-11-01 03:00:00.000000 UTC,google,organic,tablet,iOS,1,1,0,0.0
2020-11-01 03:00:00.000000 UTC,<Other>,referral,mobile,iOS,2,2,0,0.0
2020-11-01 03:00:00.000000 UTC,google,cpc,desktop,Macintosh,1,1,0,0.0
2020-11-01 03:00:00.000000 UTC,(direct),(none),desktop,<Other>,1,15,0,0.0
2020-11-01 04:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,desktop,<Other>,1,1,0,0.0
2020-11-01 04:00:00.000000 UTC,google,organic,desktop,Macintosh,5,4,0,0.0
2020-11-01 04:00:00.000000 UTC,<Other>,<Other>,mobile,iOS,3,6,0,0.0
2020-11-01 04:00:00.000000 UTC,google,cpc,desktop,Windows,1,2,0,0.0
2020-11-01 04:00:00.000000 UTC,google,organic,desktop,Windows,4,10,0,0.0
2020-11-01 04:00:00.000000 UTC,<Other>,organic,desktop,Web,1,6,0,0.0
2020-11-01 04:00:00.000000 UTC,(direct),(none),mobile,Web,8,13,0,0.0
2020-11-01 04:00:00.000000 UTC,google,organic,desktop,Web,15,26,0,0.0
2020-11-01 04:00:00.000000 UTC,<Other>,referral,desktop,Web,8,48,1,0.0
2020-11-01 04:00:00.000000 UTC,shop.googlemerchandisestore.com,referral,mobile,Android,1,1,0,0.0
